hour,time,alive_percent,q_t,resilience
207,2025-01-09 14:00,100.0,1.0,0.800474
208,2025-01-09 15:00,100.0,1.0,0.801433
209,2025-01-09 16:00,100.0,1.0,0.802383
210,2025-01-09 17:00,100.0,0.986625,0.80326
211,2025-01-09 18:00,97.1451,0.942308,0.803919
212,2025-01-09 19:00,90.3549,0.900999,0.804377
213,2025-01-09 20:00,89.892,0.882413,0.804744
214,2025-01-09 21:00,87.4228,0.869521,0.805046
215,2025-01-09 22:00,86.1111,0.852552,0.805267
216,2025-01-09 23:00,83.9506,0.824112,0.805354
217,2025-01-10 00:00,81.4043,0.787831,0.805274
218,2025-01-10 01:00,67.9012,0.668762,0.804648
219,2025-01-10 02:00,66.0494,0.659682,0.803986
220,2025-01-10 03:00,65.8179,0.653282,0.803301
221,2025-01-10 04:00,65.2778,0.647858,0.802597
222,2025-01-10 05:00,64.1975,0.641631,0.801872
223,2025-01-10 06:00,64.0432,0.639313,0.801143
224,2025-01-10 07:00,100.0,0.654097,0.800487
225,2025-01-10 08:00,100.0,0.893931,0.800902
226,2025-01-10 09:00,100.0,0.968578,0.801644
227,2025-01-10 10:00,100.0,0.997155,0.802505
228,2025-01-10 11:00,100.0,1.0,0.803371
229,2025-01-10 12:00,100.0,1.0,0.80423
230,2025-01-10 13:00,100.0,1.0,0.805081
231,2025-01-10 14:00,100.0,1.0,0.805925
232,2025-01-10 15:00,100.0,1.0,0.806762
233,2025-01-10 16:00,100.0,0.999465,0.807589
234,2025-01-10 17:00,99.7685,0.979522,0.808323
235,2025-01-10 18:00,96.6821,0.951819,0.808934
236,2025-01-10 19:00,90.2006,0.902006,0.809328
237,2025-01-10 20:00,90.2006,0.891212,0.809674
238,2025-01-10 21:00,88.4259,0.881987,0.809978
239,2025-01-10 22:00,87.8858,0.87735,0.81026
240,2025-01-10 23:00,87.1914,0.869525,0.810507
241,2025-01-11 00:00,86.4198,0.859914,0.810712
242,2025-01-11 01:00,85.3395,0.850382,0.810875
243,2025-01-11 02:00,84.7222,0.750483,0.810627
244,2025-01-11 03:00,71.6049,0.706668,0.810201
245,2025-01-11 04:00,70.0617,0.693653,0.809725
246,2025-01-11 05:00,68.6728,0.686106,0.809223
247,2025-01-11 06:00,68.5957,0.6825,0.80871
248,2025-01-11 07:00,100.0,0.758741,0.808508
249,2025-01-11 08:00,100.0,0.92134,0.808961
250,2025-01-11 09:00,100.0,0.98919,0.809682
251,2025-01-11 10:00,100.0,0.999812,0.81044
252,2025-01-11 11:00,100.0,1.0,0.811192
253,2025-01-11 12:00,100.0,1.0,0.811938
254,2025-01-11 13:00,100.0,1.0,0.812679
255,2025-01-11 14:00,100.0,1.0,0.813413
