hour,time,alive_percent,q_t,resilience
157,2025-01-07 12:00,100.0,0.999951,0.74012
158,2025-01-07 13:00,100.0,0.999423,0.741761
159,2025-01-07 14:00,100.0,0.99651,0.743363
160,2025-01-07 15:00,100.0,0.989057,0.744899
161,2025-01-07 16:00,100.0,0.971039,0.746303
162,2025-01-07 17:00,95.4475,0.903855,0.747276
163,2025-01-07 18:00,87.8858,0.853859,0.74793
164,2025-01-07 19:00,84.1821,0.83316,0.748449
165,2025-01-07 20:00,82.4846,0.809743,0.748821
166,2025-01-07 21:00,80.0926,0.797613,0.749115
167,2025-01-07 22:00,79.0123,0.780762,0.749304
168,2025-01-07 23:00,77.4691,0.772058,0.74944
169,2025-01-08 00:00,76.5432,0.756878,0.749484
170,2025-01-08 01:00,74.9228,0.738242,0.749418
171,2025-01-08 02:00,73.3025,0.730912,0.749309
172,2025-01-08 03:00,72.6852,0.71843,0.74913
173,2025-01-08 04:00,71.2191,0.711646,0.748913
174,2025-01-08 05:00,70.9105,0.707494,0.748675
175,2025-01-08 06:00,70.679,0.699452,0.748394
176,2025-01-08 07:00,100.0,0.723292,0.748251
177,2025-01-08 08:00,100.0,0.873739,0.74896
178,2025-01-08 09:00,100.0,0.960284,0.750147
179,2025-01-08 10:00,100.0,0.996379,0.751523
180,2025-01-08 11:00,100.0,0.999313,0.7529
181,2025-01-08 12:00,100.0,0.999525,0.754262
182,2025-01-08 13:00,100.0,0.998607,0.755605
183,2025-01-08 14:00,100.0,0.994485,0.75691
184,2025-01-08 15:00,100.0,0.985397,0.758152
185,2025-01-08 16:00,100.0,0.962095,0.759254
186,2025-01-08 17:00,93.5957,0.896312,0.759991
187,2025-01-08 18:00,86.9599,0.857098,0.76051
188,2025-01-08 19:00,84.8765,0.842381,0.760946
189,2025-01-08 20:00,83.642,0.824401,0.761282
190,2025-01-08 21:00,80.9414,0.795771,0.761463
191,2025-01-08 22:00,78.9352,0.779854,0.76156
192,2025-01-08 23:00,77.392,0.7665,0.761585
193,2025-01-09 00:00,76.1574,0.758648,0.76157
194,2025-01-09 01:00,75.5401,0.746371,0.761492
195,2025-01-09 02:00,74.1512,0.740367,0.761383
196,2025-01-09 03:00,73.7654,0.733972,0.761243
197,2025-01-09 04:00,72.9167,0.724944,0.761059
198,2025-01-09 05:00,71.9136,0.707994,0.760791
199,2025-01-09 06:00,70.679,0.698573,0.760479
200,2025-01-09 07:00,100.0,0.71804,0.760266
201,2025-01-09 08:00,100.0,0.905395,0.760988
202,2025-01-09 09:00,100.0,0.978237,0.762064
203,2025-01-09 10:00,100.0,0.996705,0.76322
204,2025-01-09 11:00,100.0,0.999568,0.764378
205,2025-01-09 12:00,100.0,0.999725,0.765526
206,2025-01-09 13:00,100.0,0.999348,0.766661
207,2025-01-09 14:00,100.0,0.998009,0.767779
208,2025-01-09 15:00,100.0,0.992267,0.768858
209,2025-01-09 16:00,100.0,0.975772,0.769848
210,2025-01-09 17:00,95.9877,0.945226,0.770683
211,2025-01-09 18:00,92.7469,0.904296,0.771317
212,2025-01-09 19:00,87.5772,0.861455,0.771742
213,2025-01-09 20:00,85.0309,0.835099,0.772039
214,2025-01-09 21:00,82.0988,0.81006,0.772217
215,2025-01-09 22:00,79.9383,0.78361,0.77227
216,2025-01-09 23:00,77.0833,0.756816,0.772198
217,2025-01-10 00:00,74.537,0.72164,0.771965
218,2025-01-10 01:00,61.6512,0.603709,0.771194
219,2025-01-10 02:00,59.4136,0.594136,0.770385
220,2025-01-10 03:00,59.4136,0.58859,0.769559
221,2025-01-10 04:00,58.7963,0.584424,0.768721
222,2025-01-10 05:00,57.8704,0.578384,0.767864
223,2025-01-10 06:00,57.7932,0.577037,0.767008
224,2025-01-10 07:00,100.0,0.598586,0.766256
225,2025-01-10 08:00,100.0,0.848851,0.766623
226,2025-01-10 09:00,100.0,0.964989,0.767501
227,2025-01-10 10:00,100.0,0.996275,0.768509
228,2025-01-10 11:00,100.0,0.999631,0.769522
229,2025-01-10 12:00,100.0,0.999743,0.770528
230,2025-01-10 13:00,100.0,0.999109,0.771522
231,2025-01-10 14:00,100.0,0.997385,0.772499
232,2025-01-10 15:00,100.0,0.991821,0.773445
233,2025-01-10 16:00,100.0,0.977382,0.77432
234,2025-01-10 17:00,96.3735,0.946035,0.775054
235,2025-01-10 18:00,92.8241,0.910706,0.775631
236,2025-01-10 19:00,87.2685,0.870888,0.776035
237,2025-01-10 20:00,86.9599,0.858464,0.776382
238,2025-01-10 21:00,85.1852,0.847489,0.776681
239,2025-01-10 22:00,84.0278,0.834913,0.776925
240,2025-01-10 23:00,82.1759,0.818603,0.777099
241,2025-01-11 00:00,81.1728,0.805768,0.777218
242,2025-01-11 01:00,79.7068,0.794549,0.777289
243,2025-01-11 02:00,79.2438,0.697377,0.77696
244,2025-01-11 03:00,66.2809,0.654733,0.776459
245,2025-01-11 04:00,64.7377,0.639529,0.7759
246,2025-01-11 05:00,63.0401,0.628404,0.775301
247,2025-01-11 06:00,62.6543,0.624795,0.774692
248,2025-01-11 07:00,100.0,0.700257,0.774391
249,2025-01-11 08:00,100.0,0.889931,0.774855
250,2025-01-11 09:00,100.0,0.982605,0.775686
251,2025-01-11 10:00,100.0,0.998883,0.776576
252,2025-01-11 11:00,100.0,0.999856,0.777462
253,2025-01-11 12:00,100.0,0.999968,0.778341
254,2025-01-11 13:00,100.0,0.999669,0.779213
255,2025-01-11 14:00,100.0,0.998407,0.780072
256,2025-01-11 15:00,100.0,0.994313,0.780909
257,2025-01-11 16:00,100.0,0.982752,0.781694
258,2025-01-11 17:00,97.2994,0.964918,0.782405
259,2025-01-11 18:00,95.9105,0.936548,0.783
260,2025-01-11 19:00,92.5154,0.921566,0.783533
261,2025-01-11 20:00,91.6667,0.912944,0.784028
262,2025-01-11 21:00,90.2778,0.898853,0.784467
263,2025-01-11 22:00,89.5833,0.855998,0.784739
264,2025-01-11 23:00,84.3364,0.836833,0.784936
265,2025-01-12 00:00,83.3333,0.828057,0.785099
266,2025-01-12 01:00,82.4074,0.815161,0.785212
267,2025-01-12 02:00,81.0185,0.794149,0.785245
268,2025-01-12 03:00,78.4722,0.78269,0.785236
269,2025-01-12 04:00,78.1636,0.759713,0.785141
270,2025-01-12 05:00,65.2006,0.650358,0.784642
271,2025-01-12 06:00,64.892,0.648102,0.784138
272,2025-01-12 07:00,100.0,0.726315,0.783925
273,2025-01-12 08:00,100.0,0.910991,0.784391
274,2025-01-12 09:00,100.0,0.98436,0.78512
275,2025-01-12 10:00,100.0,0.997508,0.785893
276,2025-01-12 11:00,100.0,0.999851,0.786668
277,2025-01-12 12:00,100.0,0.999984,0.787438
278,2025-01-12 13:00,100.0,0.999767,0.788202
279,2025-01-12 14:00,100.0,0.998396,0.788955
280,2025-01-12 15:00,100.0,0.993945,0.789687
281,2025-01-12 16:00,100.0,0.982512,0.790374
282,2025-01-12 17:00,97.5309,0.969612,0.791009
283,2025-01-12 18:00,96.4506,0.948947,0.791567
284,2025-01-12 19:00,93.287,0.923792,0.792033
285,2025-01-12 20:00,91.9753,0.896706,0.7924
286,2025-01-12 21:00,86.1883,0.859171,0.792634
287,2025-01-12 22:00,85.4938,0.854217,0.792848
288,2025-01-12 23:00,85.4167,0.848107,0.79304
289,2025-01-13 00:00,84.1821,0.838822,0.793198
290,2025-01-13 01:00,83.4877,0.82571,0.793311
291,2025-01-13 02:00,81.1728,0.803337,0.793345
292,2025-01-13 03:00,79.1667,0.789855,0.793333
293,2025-01-13 04:00,78.7809,0.7805,0.793289
294,2025-01-13 05:00,77.7006,0.776303,0.793231
295,2025-01-13 06:00,77.5463,0.770295,0.793154
296,2025-01-13 07:00,100.0,0.781109,0.793113
297,2025-01-13 08:00,100.0,0.887086,0.793429
298,2025-01-13 09:00,100.0,0.974674,0.794038
299,2025-01-13 10:00,100.0,0.998464,0.794721
300,2025-01-13 11:00,100.0,1.0,0.795406
301,2025-01-13 12:00,100.0,1.0,0.796085
302,2025-01-13 13:00,100.0,0.999878,0.79676
303,2025-01-13 14:00,100.0,0.99888,0.797427
304,2025-01-13 15:00,100.0,0.99576,0.79808
305,2025-01-13 16:00,100.0,0.987426,0.7987
306,2025-01-13 17:00,97.9167,0.976694,0.799282
307,2025-01-13 18:00,96.8364,0.958216,0.7998
308,2025-01-13 19:00,94.5216,0.93202,0.800229
309,2025-01-13 20:00,92.6698,0.922014,0.800623
310,2025-01-13 21:00,91.358,0.903809,0.800956
311,2025-01-13 22:00,86.3426,0.861516,0.801151
312,2025-01-13 23:00,85.9568,0.854633,0.801322
313,2025-01-14 00:00,84.5679,0.835273,0.801431
314,2025-01-14 01:00,82.9475,0.822665,0.801498
315,2025-01-14 02:00,81.4815,0.803861,0.801506
316,2025-01-14 03:00,79.3981,0.789105,0.801467
317,2025-01-14 04:00,78.3951,0.783277,0.801409
318,2025-01-14 05:00,78.2407,0.771712,0.801316
319,2025-01-14 06:00,76.929,0.766714,0.801207
320,2025-01-14 07:00,100.0,0.777433,0.801133
321,2025-01-14 08:00,100.0,0.897976,0.801435
322,2025-01-14 09:00,100.0,0.968784,0.801954
323,2025-01-14 10:00,100.0,0.996564,0.802557
324,2025-01-14 11:00,100.0,1.0,0.803166
325,2025-01-14 12:00,100.0,1.0,0.803772
326,2025-01-14 13:00,100.0,1.0,0.804374
327,2025-01-14 14:00,100.0,0.999787,0.804971
328,2025-01-14 15:00,100.0,0.996586,0.805556
329,2025-01-14 16:00,100.0,0.977944,0.80608
330,2025-01-14 17:00,93.8272,0.934907,0.80647
331,2025-01-14 18:00,92.2068,0.912322,0.80679
332,2025-01-14 19:00,90.2778,0.891108,0.807044
333,2025-01-14 20:00,88.7346,0.881024,0.807266
334,2025-01-14 21:00,86.7284,0.856843,0.807414
335,2025-01-14 22:00,84.5679,0.84275,0.80752
336,2025-01-14 23:00,83.642,0.833784,0.807598
337,2025-01-15 00:00,83.1019,0.82159,0.80764
338,2025-01-15 01:00,80.8642,0.804086,0.807629
339,2025-01-15 02:00,79.7068,0.793203,0.807586
340,2025-01-15 03:00,78.4722,0.781988,0.807511
341,2025-01-15 04:00,77.7778,0.776167,0.807419
342,2025-01-15 05:00,77.4691,0.770681,0.807312
343,2025-01-15 06:00,76.5432,0.761095,0.807177
344,2025-01-15 07:00,63.5802,0.632517,0.806669
345,2025-01-15 08:00,62.8086,0.621646,0.806133
346,2025-01-15 09:00,61.6512,0.615356,0.805582
347,2025-01-15 10:00,60.7253,0.603891,0.805
348,2025-01-15 11:00,59.4907,0.591505,0.804387
349,2025-01-15 12:00,58.9506,0.589506,0.803771
350,2025-01-15 13:00,58.9506,0.588845,0.803157
351,2025-01-15 14:00,58.8735,0.587325,0.802542
352,2025-01-15 15:00,58.642,0.584343,0.801922
353,2025-01-15 16:00,58.3333,0.583333,0.801303
354,2025-01-15 17:00,58.3333,0.582543,0.800685
355,2025-01-15 18:00,58.1019,0.576901,0.800055
356,2025-01-15 19:00,57.4074,0.574074,0.79942
357,2025-01-15 20:00,57.4074,0.567319,0.79877
358,2025-01-15 21:00,56.4043,0.564043,0.798114
359,2025-01-15 22:00,56.4043,0.563591,0.797461
360,2025-01-15 23:00,56.3272,0.562805,0.796809
361,2025-01-16 00:00,56.25,0.5625,0.79616
362,2025-01-16 01:00,56.25,0.5625,0.795515
363,2025-01-16 02:00,56.25,0.5614,0.79487
364,2025-01-16 03:00,56.0957,0.560957,0.794227
365,2025-01-16 04:00,56.0957,0.560957,0.793588
366,2025-01-16 05:00,56.0957,0.560957,0.792952
367,2025-01-16 06:00,56.0957,0.560957,0.79232
368,2025-01-16 07:00,100.0,0.618006,0.791847
369,2025-01-16 08:00,100.0,0.902582,0.792147
370,2025-01-16 09:00,100.0,0.978814,0.792651
371,2025-01-16 10:00,100.0,0.998282,0.793205
372,2025-01-16 11:00,100.0,0.999804,0.793761
373,2025-01-16 12:00,100.0,0.999919,0.794313
374,2025-01-16 13:00,100.0,0.999609,0.794862
375,2025-01-16 14:00,100.0,0.99856,0.795406
376,2025-01-16 15:00,100.0,0.995101,0.795937
377,2025-01-16 16:00,100.0,0.985847,0.79644
378,2025-01-16 17:00,97.4537,0.966186,0.796889
379,2025-01-16 18:00,95.8333,0.950923,0.797296
380,2025-01-16 19:00,94.2901,0.925937,0.797634
381,2025-01-16 20:00,91.821,0.915859,0.797945
382,2025-01-16 21:00,90.4321,0.875171,0.798147
383,2025-01-16 22:00,85.8025,0.855011,0.798295
384,2025-01-16 23:00,85.1852,0.83947,0.798403
385,2025-01-17 00:00,83.642,0.831554,0.798489
386,2025-01-17 01:00,82.6389,0.820202,0.798545
387,2025-01-17 02:00,81.3272,0.805834,0.798564
388,2025-01-17 03:00,80.0154,0.793518,0.798551
389,2025-01-17 04:00,79.1667,0.789223,0.798527
390,2025-01-17 05:00,78.858,0.785885,0.798494
391,2025-01-17 06:00,78.3179,0.779222,0.798445
392,2025-01-17 07:00,100.0,0.791653,0.798428
393,2025-01-17 08:00,100.0,0.85439,0.79857
394,2025-01-17 09:00,100.0,0.930859,0.798906
395,2025-01-17 10:00,100.0,0.973924,0.799349
396,2025-01-17 11:00,100.0,0.987764,0.799825
397,2025-01-17 12:00,100.0,0.993448,0.800313
398,2025-01-17 13:00,100.0,0.990314,0.80079
399,2025-01-17 14:00,100.0,0.984177,0.80125
400,2025-01-17 15:00,100.0,0.959726,0.801646
401,2025-01-17 16:00,100.0,0.934335,0.801977
402,2025-01-17 17:00,90.3549,0.874638,0.802157
403,2025-01-17 18:00,85.6481,0.849465,0.802275
404,2025-01-17 19:00,84.4136,0.833387,0.802352
405,2025-01-17 20:00,82.1759,0.812457,0.802377
406,2025-01-17 21:00,80.4784,0.797268,0.802364
407,2025-01-17 22:00,78.1636,0.779542,0.802308
408,2025-01-17 23:00,77.7006,0.770734,0.802231
409,2025-01-18 00:00,76.1574,0.760279,0.802128
410,2025-01-18 01:00,75.6944,0.740901,0.801979
411,2025-01-18 02:00,73.4568,0.729852,0.801803
412,2025-01-18 03:00,72.4537,0.71865,0.801601
413,2025-01-18 04:00,71.6821,0.712474,0.801386
414,2025-01-18 05:00,70.9105,0.706945,0.801158
415,2025-01-18 06:00,70.5247,0.703119,0.800921
416,2025-01-18 07:00,100.0,0.730682,0.800752
417,2025-01-18 08:00,100.0,0.876462,0.800934
418,2025-01-18 09:00,100.0,0.966991,0.801331
419,2025-01-18 10:00,100.0,0.995482,0.801795
420,2025-01-18 11:00,100.0,0.999659,0.802266
421,2025-01-18 12:00,100.0,0.999894,0.802735
422,2025-01-18 13:00,100.0,0.999436,0.803201
423,2025-01-18 14:00,100.0,0.99802,0.803662
424,2025-01-18 15:00,100.0,0.993604,0.80411
425,2025-01-18 16:00,100.0,0.980354,0.804525
426,2025-01-18 17:00,96.6821,0.956314,0.804881
427,2025-01-18 18:00,93.8272,0.926061,0.805165
428,2025-01-18 19:00,91.5123,0.884105,0.805349
429,2025-01-18 20:00,86.3426,0.860939,0.805479
430,2025-01-18 21:00,85.108,0.834068,0.805545
431,2025-01-18 22:00,82.8704,0.822099,0.805584
432,2025-01-18 23:00,81.5586,0.813723,0.805602
433,2025-01-19 00:00,80.8642,0.802871,0.805596
434,2025-01-19 01:00,79.784,0.786336,0.805552
435,2025-01-19 02:00,77.5463,0.772021,0.805475
436,2025-01-19 03:00,76.3117,0.758726,0.805367
437,2025-01-19 04:00,75.6173,0.753427,0.805249
438,2025-01-19 05:00,75.0772,0.746736,0.805115
439,2025-01-19 06:00,74.3056,0.740093,0.804967
440,2025-01-19 07:00,100.0,0.742446,0.804825
441,2025-01-19 08:00,100.0,0.810668,0.804838
442,2025-01-19 09:00,100.0,0.859702,0.804962
443,2025-01-19 10:00,100.0,0.927471,0.805239
444,2025-01-19 11:00,100.0,0.955505,0.805577
445,2025-01-19 12:00,100.0,0.973452,0.805954
446,2025-01-19 13:00,100.0,0.980443,0.806346
447,2025-01-19 14:00,100.0,0.971941,0.806716
448,2025-01-19 15:00,100.0,0.956031,0.807049
449,2025-01-19 16:00,100.0,0.900178,0.807257
450,2025-01-19 17:00,84.9537,0.836685,0.807322
451,2025-01-19 18:00,82.2531,0.805099,0.807317
452,2025-01-19 19:00,78.6265,0.783016,0.807263
453,2025-01-19 20:00,78.0864,0.762728,0.807165
454,2025-01-19 21:00,73.8426,0.730608,0.806997
455,2025-01-19 22:00,72.2222,0.708553,0.80678
456,2025-01-19 23:00,70.216,0.688706,0.806521
457,2025-01-20 00:00,68.5185,0.683708,0.806252
458,2025-01-20 01:00,68.3642,0.682733,0.805983
459,2025-01-20 02:00,68.2099,0.682099,0.805713
460,2025-01-20 03:00,68.2099,0.680778,0.805441
461,2025-01-20 04:00,67.9784,0.679784,0.805169
462,2025-01-20 05:00,67.9784,0.67763,0.804893
463,2025-01-20 06:00,67.5154,0.675154,0.804612
464,2025-01-20 07:00,100.0,0.615598,0.804205
465,2025-01-20 08:00,100.0,0.869069,0.804345
466,2025-01-20 09:00,100.0,0.962552,0.804684
