id,row,col,alive_percent,resilience
430,11,34,97.5,0.972855
431,11,35,89.8611,0.879311
432,12,0,69.3056,0.627323
433,12,1,99.0278,0.98933
434,12,2,99.0278,0.98993
435,12,3,99.0278,0.98993
436,12,4,96.9444,0.962726
437,12,5,99.0278,0.98993
438,12,6,99.0278,0.98993
439,12,7,96.9444,0.962726
440,12,8,96.9444,0.962726
441,12,9,99.0278,0.98933
442,12,10,99.0278,0.98933
443,12,11,88.75,0.829189
444,12,12,58.4722,0.469885
445,12,13,99.0278,0.98933
446,12,14,45.0,0.339953
447,12,15,69.3056,0.627323
448,12,16,52.7778,0.448929
449,12,17,99.0278,0.98933
450,12,18,99.0278,0.98933
451,12,19,97.5,0.969213
452,12,20,98.6111,0.982053
453,12,21,41.5278,0.281639
454,12,22,60.9722,0.519382
455,12,23,98.8889,0.984739
456,12,24,43.8889,0.300747
457,12,25,86.5278,0.833774
458,12,26,98.8889,0.984739
459,12,27,55.4167,0.448714
460,12,28,99.0278,0.990278
461,12,29,89.8611,0.879311
462,12,30,97.6389,0.968814
463,12,31,98.3333,0.980797
464,12,32,50.9722,0.398141
465,12,33,98.3333,0.980724
466,12,34,98.1944,0.974962
467,12,35,74.5833,0.65872
468,13,0,99.0278,0.989032
469,13,1,45.0,0.339953
470,13,2,99.0278,0.98993
471,13,3,99.0278,0.98993
472,13,4,99.0278,0.98933
473,13,5,99.0278,0.98993
474,13,6,72.9167,0.672298
475,13,7,99.0278,0.98933
476,13,8,99.0278,0.98993
477,13,9,99.0278,0.98993
478,13,10,99.0278,0.98993
479,13,11,98.3333,0.980797
480,13,12,45.9722,0.35942
481,13,13,42.7778,0.287186
482,13,14,97.5,0.969213
483,13,15,74.7222,0.679908
484,13,16,98.75,0.985622
485,13,17,99.0278,0.987919
486,13,18,96.9444,0.963992
487,13,19,99.0278,0.988779
488,13,20,96.9444,0.963992
489,13,21,99.0278,0.989949
490,13,22,99.0278,0.988317
491,13,23,97.5,0.972855
492,13,24,73.4722,0.655322
493,13,25,55.4167,0.445781
494,13,26,99.0278,0.98993
495,13,27,89.8611,0.879311
496,13,28,97.5,0.972855
497,13,29,89.8611,0.879311
498,13,30,53.3333,0.455518
499,13,31,92.0833,0.895221
500,13,32,89.8611,0.879311
501,13,33,89.8611,0.879311
502,13,34,62.0833,0.519296
503,13,35,99.0278,0.98933
504,14,0,61.25,0.53356
505,14,1,77.5,0.706677
506,14,2,98.3333,0.980797
507,14,3,86.5278,0.833774
508,14,4,46.25,0.359818
509,14,5,86.5278,0.833774
510,14,6,98.0556,0.977523
511,14,7,99.0278,0.988779
512,14,8,89.8611,0.879311
513,14,9,99.0278,0.98933
514,14,10,98.3333,0.980797
515,14,11,97.6389,0.973496
516,14,12,94.5833,0.938627
517,14,13,96.9444,0.963992
518,14,14,99.0278,0.988779
519,14,15,96.9444,0.963992
520,14,16,96.9444,0.963992
521,14,17,96.9444,0.963992
522,14,18,96.9444,0.963992
523,14,19,42.3611,0.290964
524,14,20,96.9444,0.963992
525,14,21,96.9444,0.963992
526,14,22,82.2222,0.759913
527,14,23,43.75,0.306213
528,14,24,99.0278,0.988235
529,14,25,60.5556,0.502016
530,14,26,46.8056,0.355832
531,14,27,89.8611,0.879311
532,14,28,98.0556,0.977523
533,14,29,89.8611,0.879311
534,14,30,99.0278,0.987919
535,14,31,99.0278,0.988779
536,14,32,94.3056,0.93572
537,14,33,47.7778,0.366471
538,14,34,98.0556,0.977523
539,14,35,89.8611,0.879311
540,15,0,99.0278,0.988779
541,15,1,98.0556,0.977523
542,15,2,98.3333,0.980797
543,15,3,99.0278,0.98993
544,15,4,99.0278,0.988905
545,15,5,89.8611,0.879311
546,15,6,94.3056,0.93572
547,15,7,89.8611,0.879311
548,15,8,89.4444,0.864816
549,15,9,99.0278,0.988905
550,15,10,96.5278,0.952669
551,15,11,99.0278,0.989007
552,15,12,99.0278,0.989007
553,15,13,96.9444,0.963992
554,15,14,99.0278,0.987919
555,15,15,98.6111,0.982053
556,15,16,96.9444,0.963992
557,15,17,45.0,0.349446
558,15,18,96.9444,0.963992
559,15,19,96.9444,0.963992
560,15,20,99.0278,0.988779
561,15,21,99.0278,0.989949
562,15,22,86.5278,0.833774
563,15,23,98.8889,0.984739
564,15,24,60.9722,0.519382
565,15,25,45.2778,0.329239
566,15,26,46.6667,0.364214
567,15,27,69.7222,0.605296
568,15,28,49.7222,0.403786
569,15,29,89.8611,0.879311
570,15,30,99.0278,0.98933
571,15,31,89.8611,0.879311
572,15,32,89.8611,0.879311
573,15,33,98.6111,0.982053
574,15,34,50.9722,0.398141
575,15,35,50.9722,0.398141
576,16,0,99.0278,0.987919
577,16,1,89.8611,0.879311
578,16,2,89.4444,0.864816
579,16,3,89.8611,0.879311
580,16,4,89.8611,0.879311
581,16,5,94.3056,0.93572
582,16,6,94.3056,0.93572
583,16,7,74.8611,0.66386
584,16,8,41.3889,0.267922
585,16,9,89.4444,0.864816
586,16,10,96.5278,0.952669
587,16,11,99.0278,0.989497
588,16,12,97.0833,0.966128
589,16,13,96.5278,0.952669
590,16,14,96.9444,0.963992
591,16,15,89.5833,0.868077
592,16,16,99.0278,0.989007
593,16,17,99.0278,0.988779
594,16,18,99.0278,0.987919
