id,row,col,norm,final_health,service_ratio,total_demand,total_generated,total_self_served,total_imported,total_exported,total_unmet,final_storage
471,13,3,0.2329,1.0,0.9939,272.625,508.327,270.933,0.028,2.973,1.663,234.422
472,13,4,0.1896,1.0,0.9926,89.615,161.441,88.922,0.032,13.691,0.661,58.829
473,13,5,0.5832,1.0,0.99,272.625,508.327,269.872,0.027,16.757,2.725,221.698
474,13,6,0.3722,0.9916,0.9809,475.187,331.712,331.286,134.812,0.426,9.089,0.0
475,13,7,0.4491,1.0,0.9839,89.615,161.441,88.036,0.139,7.187,1.441,66.219
476,13,8,0.775,1.0,0.9925,272.625,508.327,269.15,1.435,19.641,2.039,219.537
477,13,9,0.9457,1.0,0.993,272.625,508.327,270.627,0.086,2.889,1.912,234.811
478,13,10,0.6375,1.0,0.9928,272.625,508.327,269.826,0.833,7.364,1.966,231.138
479,13,11,0.2176,1.0,0.9772,2258.333,2867.502,2204.164,2.635,143.943,51.534,519.395
480,13,12,0.34,0.9809,0.9237,163.721,52.569,48.693,102.532,3.876,12.496,0.0
481,13,13,0.204,0.0045,0.3127,16941.29,5008.136,5008.136,289.819,0.0,11643.335,0.0
482,13,14,0.0382,1.0,0.8498,667.338,677.514,557.568,9.527,118.143,100.243,1.803
483,13,15,0.914,0.9373,0.9607,61.652,41.564,38.297,20.929,3.267,2.425,0.0
484,13,16,0.8188,1.0,0.9892,652.935,1112.056,642.286,3.571,98.983,7.078,370.787
485,13,17,0.6783,1.0,0.9757,1343.456,1921.543,1310.231,0.601,32.125,32.624,579.188
486,13,18,0.621,1.0,0.9637,134.15,159.076,113.312,15.966,45.694,4.873,0.07
487,13,19,0.2034,0.5515,0.8284,231.182,271.287,138.883,52.634,132.404,39.665,0.0
488,13,20,0.4956,1.0,0.8387,134.15,159.076,110.872,1.635,47.997,21.642,0.206
489,13,21,0.0633,1.0,0.9407,151.762,439.907,142.756,0.0,293.668,9.006,3.483
490,13,22,0.7958,1.0,0.7956,29078.813,36143.337,23117.035,17.889,12504.754,5943.889,521.549
491,13,23,0.5501,0.7958,0.8124,844.723,1384.247,477.664,208.574,906.583,158.485,0.0
492,13,24,0.534,0.0,0.5812,1782.102,1260.42,854.96,180.779,405.46,746.362,0.0
493,13,25,0.1637,0.0,0.4231,24591.694,10325.868,10313.403,90.587,12.465,14187.704,0.0
494,13,26,0.4098,0.0,0.6697,272.625,508.327,178.032,4.553,330.295,90.04,0.0
495,13,27,0.6678,0.9532,0.9297,149.73,133.068,76.997,62.202,56.071,10.531,0.0
496,13,28,0.9532,1.0,0.9528,844.723,1384.247,802.519,2.332,450.768,39.871,130.96
497,13,29,0.7453,0.9532,0.9433,149.73,133.068,121.843,19.398,11.224,8.489,0.0
498,13,30,0.4141,0.9441,0.9264,150.044,64.679,64.479,74.525,0.2,11.04,0.0
499,13,31,0.8642,1.0,0.8675,12126.372,10729.344,10377.69,141.807,141.689,1606.875,209.966
500,13,32,0.6445,0.8642,0.8471,149.73,133.068,80.083,46.752,52.985,22.895,0.0
501,13,33,0.728,0.0,0.5439,149.73,133.068,64.116,17.317,68.952,68.297,0.0
502,13,34,0.942,0.0,0.5932,1144.365,564.892,538.389,140.435,26.503,465.541,0.0
503,13,35,0.9016,0.0,0.6912,89.615,161.441,59.622,2.316,101.82,27.677,0.0
504,14,0,0.1135,0.0,0.7324,2807.231,1530.211,1529.48,526.459,0.731,751.292,0.0
505,14,1,0.4062,0.6767,0.859,1365.285,921.066,900.393,272.449,20.673,192.443,0.0
506,14,2,0.4609,1.0,0.9736,2258.333,2867.502,2197.662,1.021,212.445,59.65,457.396
507,14,3,0.13,0.8103,0.9387,191.188,158.737,155.001,24.473,3.737,11.715,0.0
508,14,4,0.5515,0.5983,0.7499,157.207,52.378,52.255,65.64,0.122,39.311,0.0
509,14,5,0.089,0.9291,0.9579,191.188,158.737,156.247,26.89,2.49,8.052,0.0
