hour,time,alive_percent,resilience
193,2025-01-09 00:00,71.2191,0.735803
194,2025-01-09 01:00,67.5926,0.735495
195,2025-01-09 02:00,64.5833,0.735035
196,2025-01-09 03:00,61.4969,0.734422
197,2025-01-09 04:00,59.3364,0.733706
198,2025-01-09 05:00,57.8704,0.732923
199,2025-01-09 06:00,54.8611,0.731997
200,2025-01-09 07:00,56.0957,0.731142
201,2025-01-09 08:00,86.9599,0.731831
202,2025-01-09 09:00,96.5278,0.732986
203,2025-01-09 10:00,99.0741,0.734256
204,2025-01-09 11:00,99.6914,0.735544
205,2025-01-09 12:00,99.6914,0.736819
206,2025-01-09 13:00,99.6914,0.738081
207,2025-01-09 14:00,99.537,0.739324
208,2025-01-09 15:00,98.9198,0.740526
209,2025-01-09 16:00,97.608,0.741653
210,2025-01-09 17:00,95.0617,0.742648
211,2025-01-09 18:00,92.6698,0.74352
212,2025-01-09 19:00,90.4321,0.744278
213,2025-01-09 20:00,87.2685,0.744881
214,2025-01-09 21:00,82.7932,0.745269
215,2025-01-09 22:00,77.5463,0.74541
216,2025-01-09 23:00,71.7593,0.745281
217,2025-01-10 00:00,66.1265,0.744894
218,2025-01-10 01:00,61.4969,0.744298
219,2025-01-10 02:00,57.4074,0.743521
220,2025-01-10 03:00,54.0123,0.742596
221,2025-01-10 04:00,51.3889,0.741561
222,2025-01-10 05:00,50.0,0.740473
223,2025-01-10 06:00,48.2253,0.739315
224,2025-01-10 07:00,48.2253,0.738168
225,2025-01-10 08:00,77.3148,0.738323
226,2025-01-10 09:00,95.3704,0.739276
227,2025-01-10 10:00,99.2284,0.740391
228,2025-01-10 11:00,99.6142,0.741512
229,2025-01-10 12:00,99.6914,0.742628
230,2025-01-10 13:00,99.6142,0.74373
231,2025-01-10 14:00,99.3827,0.744813
232,2025-01-10 15:00,99.1512,0.745876
233,2025-01-10 16:00,98.071,0.746884
234,2025-01-10 17:00,96.4506,0.747814
235,2025-01-10 18:00,93.8272,0.748624
236,2025-01-10 19:00,92.4383,0.749369
237,2025-01-10 20:00,90.9722,0.750046
238,2025-01-10 21:00,89.1204,0.750639
239,2025-01-10 22:00,87.1142,0.751143
240,2025-01-10 23:00,85.1852,0.751563
241,2025-01-11 00:00,83.642,0.751915
242,2025-01-11 01:00,80.9414,0.752152
243,2025-01-11 02:00,77.3148,0.752239
244,2025-01-11 03:00,73.4568,0.752166
245,2025-01-11 04:00,69.4444,0.751931
246,2025-01-11 05:00,66.8981,0.751593
247,2025-01-11 06:00,64.3519,0.751156
248,2025-01-11 07:00,63.8117,0.7507
249,2025-01-11 08:00,85.2623,0.751109
250,2025-01-11 09:00,96.9907,0.751985
251,2025-01-11 10:00,99.3827,0.752948
252,2025-01-11 11:00,99.8457,0.753922
253,2025-01-11 12:00,100.0,0.754895
254,2025-01-11 13:00,99.7685,0.755851
255,2025-01-11 14:00,99.6142,0.756793
256,2025-01-11 15:00,99.2284,0.757713
257,2025-01-11 16:00,98.3796,0.758593
258,2025-01-11 17:00,96.9907,0.759412
259,2025-01-11 18:00,94.9074,0.760144
260,2025-01-11 19:00,93.2099,0.760805
261,2025-01-11 20:00,92.6698,0.761441
262,2025-01-11 21:00,91.2809,0.762019
263,2025-01-11 22:00,90.0463,0.762545
264,2025-01-11 23:00,89.3519,0.763041
265,2025-01-12 00:00,87.1914,0.763452
266,2025-01-12 01:00,85.571,0.763799
267,2025-01-12 02:00,83.0247,0.764048
268,2025-01-12 03:00,81.1728,0.764226
269,2025-01-12 04:00,77.1605,0.764253
270,2025-01-12 05:00,74.0741,0.764166
271,2025-01-12 06:00,71.7593,0.763994
272,2025-01-12 07:00,70.9877,0.763795
273,2025-01-12 08:00,88.3488,0.764234
274,2025-01-12 09:00,97.3765,0.764998
275,2025-01-12 10:00,99.537,0.765836
276,2025-01-12 11:00,99.7685,0.766676
277,2025-01-12 12:00,100.0,0.767519
278,2025-01-12 13:00,99.8457,0.768349
279,2025-01-12 14:00,99.6142,0.769166
280,2025-01-12 15:00,99.1512,0.76996
281,2025-01-12 16:00,98.4568,0.770724
282,2025-01-12 17:00,97.3765,0.771444
283,2025-01-12 18:00,95.5247,0.772093
284,2025-01-12 19:00,93.5185,0.772667
285,2025-01-12 20:00,92.7469,0.77321
286,2025-01-12 21:00,91.4352,0.773704
287,2025-01-12 22:00,90.5864,0.774164
288,2025-01-12 23:00,89.6605,0.77459
289,2025-01-13 00:00,88.8117,0.774982
290,2025-01-13 01:00,87.7315,0.775335
