id,row,col,building_type,norm,alive_percent,critical_percent,permanently_dead,resilience
194,5,14,residential,1.0,24.4444,0.4167,True,0.217351
195,5,15,residential,1.0,39.3056,0.2778,True,0.378942
196,5,16,residential,1.0,40.1389,0.0,True,0.394797
197,5,17,residential,1.0,40.5556,0.1389,True,0.394077
198,5,18,residential,1.0,38.4722,0.0,True,0.365841
199,5,19,residential,1.0,27.5,0.0,True,0.26031
200,5,20,residential,1.0,33.0556,0.1389,True,0.313243
201,5,21,residential,1.0,38.75,0.1389,True,0.375439
202,5,22,residential,1.0,34.1667,0.1389,True,0.322414
203,5,23,residential,1.0,31.1111,1.25,True,0.276659
204,5,24,residential,1.0,39.5833,0.2778,True,0.373853
205,5,25,residential,1.0,41.8056,0.0,True,0.400002
206,5,26,residential,1.0,41.3889,0.1389,True,0.393328
207,5,27,residential,1.0,37.7778,0.1389,True,0.368118
208,5,28,residential,1.0,21.6667,0.1389,True,0.189338
209,5,29,residential,1.0,30.8333,0.1389,True,0.296808
210,5,30,residential,1.0,23.0556,0.4167,True,0.204243
211,5,31,residential,1.0,24.0278,0.0,True,0.22902
212,5,32,residential,1.0,24.1667,0.0,True,0.232171
213,5,33,residential,1.0,25.2778,0.4167,True,0.232442
214,5,34,residential,1.0,23.0556,0.4167,True,0.208178
215,5,35,residential,1.0,34.0278,0.1389,True,0.327262
216,6,0,residential,1.0,29.5833,0.0,True,0.281895
217,6,1,residential,1.0,29.0278,0.1389,True,0.282406
218,6,2,residential,1.0,30.2778,0.0,True,0.288964
219,6,3,residential,1.0,30.8333,0.1389,True,0.292219
220,6,4,residential,1.0,30.8333,0.0,True,0.30079
221,6,5,residential,1.0,30.4167,0.2778,True,0.290227
222,6,6,residential,1.0,20.5556,2.0833,True,0.154271
223,6,7,residential,1.0,19.4444,1.1111,True,0.159734
224,6,8,residential,1.0,20.4167,0.0,True,0.187408
225,6,9,residential,1.0,30.2778,0.0,True,0.290854
226,6,10,residential,1.0,21.25,0.5556,True,0.178402
227,6,11,residential,1.0,27.7778,0.1389,True,0.259697
228,6,12,residential,1.0,19.8611,1.9444,True,0.141971
229,6,13,residential,1.0,21.1111,0.0,True,0.197292
230,6,14,residential,1.0,29.3056,0.0,True,0.270212
231,6,15,residential,1.0,34.0278,0.1389,True,0.317943
232,6,16,residential,1.0,39.3056,0.2778,True,0.372551
233,6,17,residential,1.0,38.4722,0.0,True,0.373806
234,6,18,residential,1.0,24.0278,2.0833,True,0.196912
235,6,19,residential,1.0,28.8889,0.1389,True,0.266087
236,6,20,residential,1.0,38.75,0.1389,True,0.368311
237,6,21,residential,1.0,39.7222,0.0,True,0.380624
238,6,22,residential,1.0,39.3056,0.1389,True,0.373539
239,6,23,residential,1.0,30.9722,0.1389,True,0.291412
240,6,24,residential,1.0,41.3889,0.0,True,0.392428
241,6,25,residential,1.0,42.9167,0.1389,True,0.417597
242,6,26,residential,1.0,40.0,0.0,True,0.37591
243,6,27,residential,1.0,35.4167,0.0,True,0.347597
244,6,28,residential,1.0,35.2778,0.0,True,0.337158
245,6,29,residential,1.0,26.9444,0.0,True,0.260564
246,6,30,residential,1.0,26.3889,0.1389,True,0.240097
247,6,31,residential,1.0,22.0833,1.6667,True,0.188698
248,6,32,residential,1.0,23.0556,1.3889,True,0.196436
249,6,33,residential,1.0,23.3333,0.0,True,0.224322
250,6,34,residential,1.0,34.0278,0.1389,True,0.327264
251,6,35,residential,1.0,34.4444,0.0,True,0.335229
252,7,0,residential,1.0,25.1389,2.0833,True,0.207912
253,7,1,residential,1.0,28.75,0.1389,True,0.271497
254,7,2,residential,1.0,27.9167,0.6944,True,0.253968
255,7,3,residential,1.0,29.0278,0.0,True,0.27194
256,7,4,residential,1.0,29.8611,0.1389,True,0.284962
257,7,5,residential,1.0,20.6944,2.0833,True,0.164473
258,7,6,residential,1.0,19.5833,0.5556,True,0.128911
259,7,7,residential,1.0,20.1389,1.9444,True,0.145461
260,7,8,residential,1.0,30.2778,0.0,True,0.290235
261,7,9,residential,1.0,30.9722,0.0,True,0.292746
262,7,10,residential,1.0,30.2778,0.0,True,0.291537
263,7,11,residential,1.0,21.1111,0.5556,True,0.170601
264,7,12,residential,1.0,20.4167,0.5556,True,0.152837
265,7,13,residential,1.0,19.7222,0.5556,True,0.142583
266,7,14,residential,1.0,23.8889,0.4167,True,0.210957
267,7,15,residential,1.0,34.1667,0.0,True,0.327009
268,7,16,residential,1.0,33.75,0.1389,True,0.313688
269,7,17,residential,1.0,28.6111,0.2778,True,0.264549
270,7,18,residential,1.0,23.75,0.0,True,0.224245
271,7,19,residential,1.0,27.7778,0.1389,True,0.262112
272,7,20,residential,1.0,38.3333,0.0,True,0.364362
273,7,21,residential,1.0,39.8611,0.0,True,0.382172
274,7,22,residential,1.0,39.3056,0.0,True,0.376946
275,7,23,residential,1.0,38.6111,0.0,True,0.364659
276,7,24,residential,1.0,42.2222,0.1389,True,0.407439
277,7,25,residential,1.0,95.0,0.0,False,0.94099
278,7,26,residential,1.0,42.6389,0.1389,True,0.403478
279,7,27,residential,1.0,39.7222,0.0,True,0.381291
280,7,28,residential,1.0,28.75,0.0,True,0.2645
281,7,29,residential,1.0,27.3611,0.0,True,0.253602
282,7,30,residential,1.0,28.3333,0.0,True,0.269773
283,7,31,residential,1.0,25.2778,0.2778,True,0.228361
284,7,32,residential,1.0,20.4167,0.2778,True,0.173206
285,7,33,residential,1.0,20.6944,0.1389,True,0.161257
286,7,34,residential,1.0,27.3611,0.4167,True,0.24501
